"","day","start_time","end_time","behaviour","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","Notes","patch_focal","treatment","patch_partner","partner_sex"
"58",1,"8:33:20 AM","","mount",",9",":0","","","",":0 is still on 4,","H","isolated","K","male"
"59",1,"8:36:12 AM","","mount",",6","7,","y","y",NA,"","C","social","T","female"
"60",1,"8:38:07 AM","8:38:51 AM","insemination",":1","8,","n",NA,"n","","D","social","U","female"
"61",1,"8:39:54 AM","","mount",",1","6,","y","y",NA,"","J","isolated","S","female"
"62",1,"8:40:12 AM","","insemination",",0","9,","n",NA,"n","","G","isolated","V","female"
"63",1,"8:40:55 AM","","mount",",4","2,","y","y",NA,"","I","isolated","O","female"
"64",1,"8:42:22 AM","","mount",",3","0,","y","y",NA,"","L","isolated","M","female"
"65",1,"8:43:04 AM","","mount",",8","0,","y","y",NA,"","F","social","M","female"
"66",1,"8:46:33 AM","","mount",",8","1:00","y","y",NA,"","F","social","X","female"
"67",1,"8:46:55 AM","","mount",",3","1:00","y","y",NA,"","L","isolated","X","female"
"68",1,"8:48:42 AM","","mount",":1","7,","y","n","y","","D","social","T","female"
"69",1,"8:49:28 AM","","mount",":1","8,","n",NA,"y","","D","social","U","female"
"70",1,"8:50:07 AM","","mount",",3",",8","","","","","L","isolated","F","male"
"71",1,"8:51:27 AM","","mount",":1","8,","n",NA,"y","","D","social","U","female"
"72",1,"8:51:38 AM","","mount",":1","8,","n",NA,"y","","D","social","U","female"
"73",1,"8:52:11 AM","","mount",":1","7,","y","y",NA,"","D","social","T","female"
"74",1,"8:52:33 AM","","mount",":1","8,","n",NA,"y","","D","social","U","female"
"75",1,"8:53:12 AM","","mount",",3",",8","","","","","L","isolated","F","male"
"76",1,"8:53:33 AM","","mount",":1","7,","y","y",NA,"","D","social","T","female"
"77",1,"8:54:17 AM","","mount",",6",",1","","","","","C","social","J","male"
"78",1,"8:54:22 AM","","mount",",1",",6","","","","","J","isolated","C","male"
"79",1,"9:00:04 AM","9:01:05 AM","insemination",":1","7,","n",NA,"n","","D","social","T","female"
"80",1,"9:03:03 AM","","mount",":1","2,","y","y",NA,"","D","social","O","female"
"81",1,"9:09:37 AM","","insemination",",1","6,","n",NA,"n","","J","isolated","S","female"
"82",1,"9:09:45 AM","","mount",":1","8,","n",NA,"y","","D","social","U","female"
"83",1,"9:10:44 AM","","mount",":1","7,","y","y",NA,"","D","social","T","female"
"84",1,"9:12:31 AM","","mount",":1","8,","n",NA,"y","","D","social","U","female"
"85",1,"9:13:50 AM","","mount",",1","9,","y","y",NA,"","J","isolated","V","female"
"86",1,"9:15:30 AM","","mount",",7",":1","","","","","A","social","D","male"
"87",1,"9:15:44 AM","","mount",":1",",7","","","","","D","social","A","male"
"88",1,"9:15:49 AM","","mount",",0","0:00","y","y",NA,"","G","isolated","W","female"
"89",1,"9:17:11 AM","","mount",",3","9,","y","y",NA,"","L","isolated","V","female"
"90",1,"9:17:12 AM","","mount",",8","1:00","y","y",NA,"","F","social","X","female"
"91",1,"9:18:31 AM","","mount",":1",",7","","","","","D","social","A","male"
"92",1,"9:18:43 AM","","mount",",7",":1","","","","","A","social","D","male"
"93",1,"9:18:45 AM","","mount",",7",":1","","","","","A","social","D","male"
"94",1,"9:21:32 AM","","mount",":0","7,","y","y",NA,"","K","isolated","T","female"
"95",1,"9:21:49 AM","","mount",":0","2,","n",NA,"y","","K","isolated","O","female"
"96",1,"9:21:52 AM","","mount",":1","1:00","n",NA,"y","","D","social","X","female"
"97",1,"9:29:54 AM","","mount",",4","7,","y","y",NA,"","I","isolated","T","female"
"98",1,"9:33:48 AM","","mount",":0","7,","y","y",NA,"","K","isolated","T","female"
"99",1,"9:35:20 AM","","mount",":0","0:00","y","y",NA,"","K","isolated","W","female"
"100",1,"9:38:33 AM","","mount",":0","0:00","n",NA,"y","","K","isolated","W","female"
"101",1,"9:40:20 AM","","mount",":0","0:00","n",NA,"y","","K","isolated","W","female"
"102",1,"9:48:09 AM","9:48:53 AM","insemination",",0","1:00","y","n","n","","G","isolated","X","female"
"103",1,"9:48:38 AM","","mount",",8",",5","","","","","F","social","B","male"
"104",1,"9:49:05 AM","","mount",",3",",8","","","","","L","isolated","F","male"
"105",1,"9:53:32 AM","","insemination",",4","1,","n",NA,"n","","I","isolated","N","female"
"106",1,"9:54:25 AM","","mount",":0","7,","y","y",NA,"","K","isolated","T","female"
"107",1,"10:05:37 AM","","mount",":0","0:00","n",NA,"y","","K","isolated","W","female"
"108",1,"10:09:55 AM","","mount",",4","0;","y","y",NA,"","I","isolated",NA,"female"
"109",1,"10:11:58 AM","","mount",",4","1,","y","y","n","refusal stance","I","isolated","N","female"
"110",1,"10:16:34 AM","","mount",",7","0,","n",NA,"y","","A","social","M","female"
"111",1,"10:17:17 AM","","mount",",1",",6","","","","","J","isolated","C","male"
"112",1,"10:19:16 AM","","mount",";0","7,","n",NA,"y","","K","isolated","T","female"
"113",1,"10:19:56 AM","","mount",";0","0;","n",NA,"y","","K","isolated",NA,"female"
"114",1,"10:29:11 AM","","mount",";0","7,","n",NA,"y","","K","isolated","T","female"
"115",1,"10:36:05 AM","","mount",",4","7,","y","y",NA,"","I","isolated","T","female"
"116",1,"10:39:39 AM","","mount",",4","7,","y","y",NA,"","I","isolated","T","female"
"117",1,"10:53:12 AM","","mount",";0",",0","","","","","K","isolated","G","male"
"118",1,"10:54:00 AM","","mount",",0",";0","","","","","G","isolated","K","male"
"119",1,"10:54:25 AM","","mount",";0",",0","","","","","K","isolated","G","male"
"120",1,"11:11:09 AM","","mount",",3","8,","n",NA,"y","","L","isolated","U","female"
"121",1,"11:11:35 AM","","mount",",5",",3","","","","","B","social","L","male"
"122",1,"11:13:28 AM","","mount",",1","6,","n",NA,"y","","J","isolated","S","female"
"123",1,"11:44:15 AM","","mount",":1",",2","","","","","D","social","E","male"
"124",1,"11:48:59 AM","","mount",",4","0:00","y","y","n","female pressed right against wall","I","isolated","W","female"
"125",1,"11:51:16 AM","","mount",",1","6,","y","n","y","","J","isolated","S","female"
"126",1,"12:02:13 PM","","mount",",5",",3","","","","","B","social","L","male"
"127",1,"12:05:10 PM","12:07:19 PM","insemination",",0","4,","y","n","n","","G","isolated","Q","female"
"128",1,"12:09:49 PM","","mount",",8",",7","","","","","F","social","A","male"
"129",1,"12:11:27 PM","","mount",",8",",7","","","","","F","social","A","male"
"130",1,"12:16:01 PM","","mount",",5",",3","","","","","B","social","L","male"
"131",1,"12:25:27 PM","","mount",",3",",7","","","","","L","isolated","A","male"
"132",1,"12:25:58 PM","","mount",",8","0,","y","y",NA,"","F","social","M","female"
"133",1,"12:27:42 PM","","mount",",2",":1","","","","","E","social","D","male"
"134",1,"12:29:34 PM","","mount",",8","0,","y","n","y","","F","social","M","female"
"135",1,"12:36:12 PM","","mount",",4","0:00","y","y",NA,"","I","isolated","W","female"
"136",1,"12:36:47 PM","12:38:40 PM","insemination",",4","0:00","y","n","n","sideways kind of lots of avoidance from female","I","isolated","W","female"
"137",1,"12:38:49 PM","","mount",",9","3,","n",NA,"y","","H","isolated","P","female"
"138",1,"12:39:38 PM","","mount",",9","3,","y","y",NA,"","H","isolated","P","female"
"139",1,"12:43:10 PM","","mount",",3",",7","","","","","L","isolated","A","male"
"140",1,"12:45:35 PM","","mount",":0","3,","y","y",NA,"","K","isolated","P","female"
"141",1,"12:47:57 PM","","mount",",0","3,","y","y",NA,"","G","isolated","P","female"
"142",1,"12:54:00 PM","","mount",",0","3,","y","y",NA,"","G","isolated","P","female"
"143",1,"12:54:07 PM","","mount",":0","4,","y","y",NA,"","K","isolated","Q","female"
"144",1,"1:09:38 PM","","mount",",2","4,","y","y",NA,"","E","social","Q","female"
"145",1,"1:09:57 PM","","mount",",2","4,","y","y",NA,"","E","social","Q","female"
"146",1,"1:10:27 PM","","mount",",4","0:00","n",NA,"y","female pressed right against wall","I","isolated","W","female"
"147",1,"1:13:23 PM","","mount",",1","8,","y","n","y","female pressed right against wall","J","isolated","U","female"
"148",1,"1:14:55 PM","","mount",":1","0:00","y","y",NA,"","D","social","W","female"
"149",1,"1:18:13 PM","1:18:39 PM","insemination",",6","8,","n",NA,"n","","C","social","U","female"
"150",1,"1:23:59 PM","","mount",":1","0:00","y","y",NA,"","D","social","W","female"
"151",1,"1:24:25 PM","","mount",":1","7,","y","y",NA,"","D","social","T","female"
"152",1,"1:25:43 PM","","mount",",4","1,","y","n","y","","I","isolated","N","female"
"153",1,"1:26:42 PM","","mount",",5","6,","y","y",NA,"","B","social","S","female"
"154",1,"1:32:41 PM","","mount",",4","3,","n",NA,"y","","I","isolated","P","female"
"155",1,"1:39:11 PM","","insemination",",2","0:00","y","n","n","the female kind of successfully avoided, looks like she got away mid insemination","E","social","W","female"
"156",1,"1:40:03 PM","1:40:55 PM","insemination",",4","7,","n",NA,"n","","I","isolated","T","female"
"157",1,"1:49:28 PM","","mount",",5",",3","","","","","B","social","L","male"
"158",1,"1:49:32 PM","","mount",",8",",5","","","","","F","social","B","male"
"159",1,"1:49:33 PM","","mount",",8",",5","","","","","F","social","B","male"
"160",1,"1:49:53 PM","","mount",",5","5,","y","n","y","","B","social","R","female"
"161",1,"1:51:38 PM","","mount",",8","3,","n",NA,"y","","F","social","P","female"
"162",1,"1:52:49 PM","","mount",",3","3,","y","y",NA,"","L","isolated","P","female"
"163",1,"1:53:48 PM","","mount",",3","3,","y","y",NA,"","L","isolated","P","female"
"164",1,"1:54:58 PM","","mount",",8","3,","n",NA,"y","","F","social","P","female"
"165",1,"2:03:21 PM","","mount",",3","5,","y","n","y","","L","isolated","R","female"
"166",1,"2:09:35 PM","","mount",",6",",1","","","","","C","social","J","male"
"167",1,"2:12:39 PM","","mount",",1",",6","","","","","J","isolated","C","male"
"168",1,"2:13:46 PM","","mount",",5","6,","y","n","y","","B","social","S","female"
"169",1,"2:15:09 PM","","mount",",2","0,","y","y",NA,"","E","social","M","female"
"170",1,"2:21:26 PM","","mount",":0","0:00","y","y",NA,"","K","isolated","W","female"
"171",1,"2:22:18 PM","","mount",",5","5,","y","y",NA,"","B","social","R","female"
"172",1,"2:22:32 PM","","mount",",8","5,","y","y",NA,"","F","social","R","female"
"173",1,"2:22:36 PM","","insemination",",8","5,","n",NA,"n","","F","social","R","female"
"174",1,"2:28:28 PM","","mount",",4",",2","","","","","I","isolated","E","male"
"175",1,"2:28:54 PM","","mount",",3","3,","n",NA,"y","","L","isolated","P","female"
"176",1,"2:34:27 PM","","mount",",2","0,","n",NA,"y","","E","social","M","female"
