group,replicate,day,time,location,members,notes
130,3,2,900,2,R J,
131,3,2,900,5,I M L A,
132,3,2,900,6,D Q F,
133,3,2,1000,1,C B T S K U,
134,3,2,1000,1,N V,
135,3,2,1000,1,O W E,
136,3,2,1000,2,J R,
137,3,2,1000,5,A L,
138,3,2,1000,5,M I,
139,3,2,1000,6,D Q F,
140,3,2,1100,1,C K S U X N B T,
141,3,2,1100,1,O W E,
142,3,2,1100,5,L I A M,
143,3,2,1100,6,Q D,
144,3,2,1200,1,C K T U N X B S,
145,3,2,1200,1,E O W,
146,3,2,1200,2,R J,
147,3,2,1200,5,L M I A,
148,3,2,1300,1,U C B K,
149,3,2,1300,1,V X T N S,
150,3,2,1300,1,W O E,
151,3,2,1300,2,P R,
152,3,2,1300,5,L A I,
153,3,2,1300,6,D F,
154,3,2,1400,1,X K C B U,
155,3,2,1400,1,N T V S,
156,3,2,1400,1,W O E,
157,3,2,1400,2,P R,
158,3,2,1400,5,I A,
159,3,2,1400,6,D F,
160,3,2,1500,1,X K C B U N T V S,
161,3,2,1500,1,E W,
162,3,2,1500,2,P R H,
163,3,2,1500,4,M Q,
164,3,2,1500,5,A L,
165,3,2,1500,6,D F,
166,3,2,1600,1,K U N X T B,
167,3,2,1600,1,E W V,
168,3,2,1600,2,P R H,
169,3,2,1600,5,A L I,
170,3,2,1600,6,D F,
171,4,2,800,2,D H,
172,4,2,800,2,Q M,
173,4,2,800,3,T K,
174,4,2,800,4,I E,
175,4,2,800,5,J U C O X,
176,4,2,800,6,B W,
177,4,2,800,6,P F L,
178,4,2,800,6,N A V R G,
179,4,2,900,2,D H,
180,4,2,900,2,M Q,
181,4,2,900,3,T K,
182,4,2,900,5,J C U X,
183,4,2,900,6,W P B L F,
184,4,2,900,6,V N A R G,
185,4,2,1000,2,H D,
186,4,2,1000,2,M Q,
187,4,2,1000,5,X C O,
188,4,2,1000,6,W P B F,
189,4,2,1000,6,N R G A,
190,4,2,1100,2,Q M,
191,4,2,1100,3,K T,
192,4,2,1100,5,J C,
193,4,2,1100,5,U O X,
194,4,2,1100,6,W F P,
195,4,2,1100,6,V N R A,
196,4,2,1200,2,M Q,
197,4,2,1200,3,K T,
198,4,2,1200,5,O X,
199,4,2,1200,6,W B P F L,
200,4,2,1200,6,A N V R G,
201,4,2,1300,2,M Q,
202,4,2,1300,5,J C X O,
203,4,2,1300,6,W B G L P N R,
204,4,2,1400,2,M Q,
205,4,2,1400,4,E I,
206,4,2,1400,5,J O X,
207,4,2,1400,6,F A G W R B N L P,
208,4,2,1500,2,T V H,
209,4,2,1500,2,M Q,
210,4,2,1500,4,E I,
211,4,2,1500,5,O X C J,
212,4,2,1500,6,B R F A W N L P G,
213,4,2,1600,2,V T H,
214,4,2,1600,2,M Q,
215,4,2,1600,4,E I,
216,4,2,1600,6,N G F P A B R L W,
217,4,1,900,3,V W,
218,4,1,900,5,S C J,
219,4,1,900,6,D R M,
220,4,1,900,6,F L,
221,4,1,1000,5,J S C,
222,4,1,1000,6,U A,
223,4,1,1000,6,V M R,
224,4,1,1000,6,F L,
225,4,1,1100,5,J S C,
226,4,1,1100,6,F V U A M R,
227,4,1,1200,1,E D,
228,4,1,1200,5,C S J,
229,4,1,1200,5,X O,
230,4,1,1200,6,V M R A,
231,4,1,1200,6,B L,
232,4,1,1300,5,C O X,
233,4,1,1300,6,L A,
234,4,1,1300,6,R F M,
235,4,1,1300,6,B S V,
236,4,1,1400,5,W J,
237,4,1,1400,5,O X,
238,4,1,1400,5,U C,
239,4,1,1400,6,S L P A,
240,4,1,1500,3,K Q G,
241,4,1,1500,5,W X C O U J,
242,4,1,1500,6,B S R A L,
243,4,1,1500,6,P V F,
244,4,1,1600,3,Q M,
245,4,1,1600,4,V E,
246,4,1,1600,5,K J,
247,4,1,1600,5,X U C O,
248,4,1,1600,6,B R,
249,4,1,1600,6,S P,
250,6,1,900,3,R S F I,
251,6,1,900,4,B A H,
252,6,1,900,outside,N V D C O U X J W P,
253,6,1,1000,3,Q I R F,
254,6,1,1000,4,H A B,
255,6,1,1000,outside,D M N O P C V W,
256,6,1,1100,3,F R J,
257,6,1,1100,3,Q S I,
258,6,1,1100,4,A B,
259,6,1,1100,4,T H,
260,6,1,1100,5,U L,
261,6,1,1100,outside,D M N O P C V X W,
262,6,1,1200,2,K G,
263,6,1,1200,3,S I Q R F,
264,6,1,1200,4,B A T,
265,6,1,1200,outside,N D V C W M T P J,
266,6,1,1300,2,C K,
267,6,1,1300,3,F R S I Q,
268,6,1,1300,4,A B T,
269,6,1,1300,outside,N V C D P W M O J,
270,6,1,1400,3,P I,
271,6,1,1400,3,Q S R F,
272,6,1,1400,outside,J M V W N,
273,6,1,1500,2,C E G,
274,6,1,1500,3,F S,
275,6,1,1500,3,I R,
276,6,1,1500,5,U L,
277,6,1,1500,outside,Q M V N P D W A,
278,6,1,1600,2,E G C K,
279,6,1,1600,2,O R,
280,6,1,1600,3,I F,
281,6,1,1600,4,T H,
282,6,1,1600,5,U L,
283,6,1,1600,outside,D X M J Q N A P V W,
284,6,2,800,2,K E G,
285,6,2,800,4,H B O T,
286,6,2,800,5,L V S C F,
287,6,2,800,outside,P D Q M N A X J W,
288,6,2,900,2,E K G,
289,6,2,900,4,H B O,
290,6,2,900,5,L C F S,
291,6,2,900,outside,D Q P M N A J W X,
292,6,2,1000,2,G E,
293,6,2,1000,4,H O B,
294,6,2,1000,5,C S F V L U,
295,6,2,1000,outside,D P Q A M N X J W,
296,6,2,1100,2,K E G,
297,6,2,1100,4,T B,
298,6,2,1100,5,C V,
299,6,2,1100,5,L F S,
300,6,2,1100,outside,D M N P Q A X J W,
301,6,2,1200,2,K E G,
302,6,2,1200,4,H B O,
303,6,2,1200,5,S L F,
304,6,2,1200,5,U C V,
305,6,2,1200,outside,J D M W P Q A X W,
306,6,2,1300,2,E G K,
307,6,2,1300,4,T O,
308,6,2,1300,5,F S U,
309,6,2,1300,outside,L M P Q W A I X,
310,6,2,1400,2,G E,
311,6,2,1400,4,B O A,
312,6,2,1400,5,U S F,
313,6,2,1400,outside,D M N P Q T V X W J,
314,6,2,1500,2,E K G,
315,6,2,1500,4,B T H O,
316,6,2,1500,5,C S V,
317,6,2,1500,outside,D N W P V Q M X,
