,day,start_time,end_time,behaviour,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,Notes,patch_focal,treatment,patch_partner,X,partner_sex,,
123,1,9:26:37 AM,,mount,",6",:1,,,,,H,isolated,K,NA,male,,
124,1,12:21:03 PM,,mount,",6",:1,,,,,H,isolated,K,NA,male,,
224,2,1:46:43 PM,1:47:43 PM,insemination,",6","8,",y,n,n,,H,isolated,U,NA,female,,
129,1,8:48:11 AM,,mount,",7",:1,,,,,L,isolated,K,NA,male,,
130,1,9:18:56 AM,,mount,",7",:1,,,,,L,isolated,K,NA,male,,
146,1,1:02:58 PM,,mount,",7","0,",y,y,NA,,L,isolated,M,NA,female,,
150,1,9:20:27 AM,,mount,",7","2,",y,y,NA,,L,isolated,O,NA,female,,
178,1,8:11:41 AM,,mount,",9","4,",y,n,y,,F,social,Q,NA,female,,
179,1,8:16:44 AM,,mount,",9","4,",n,NA,y,,F,social,Q,NA,female,,
135,1,9:18:35 AM,,mount,:0,:1,,,,,I,isolated,K,NA,male,,
136,1,9:19:49 AM,,mount,:0,:1,,,,,I,isolated,K,NA,male,,
137,1,9:24:35 AM,,mount,:0,:1,,,,,I,isolated,K,NA,male,,
138,1,9:28:03 AM,,mount,:0,:1,,,,,I,isolated,K,NA,male,,
154,1,9:09:20 AM,,mount,:0,"2,",n,NA,y,,I,isolated,O,NA,female,,
155,1,9:10:03 AM,,mount,:0,"2,",y,n,y,,I,isolated,O,NA,female,,
140,1,8:51:12 AM,,mount,",5",:7,,,,,E,social,B,NA,male,,
174,1,11:54:41 AM,11:55:14 AM,insemination,",5","4,",y,n,n,,E,social,Q,NA,female,,
194,1,3:15:21 PM,,mount,",5","6,",n,NA,y,,E,social,S,NA,female,,
221,2,11:14:08 AM,11:15:08 AM,insemination,",6","8,",n,NA,n,,H,isolated,U,NA,female,,
238,1,11:21:56 AM,,mount,",1","9,",n,NA,y,,C,social,V,NA,female,,
145,1,3:19:20 PM,,mount,",3","0,",n,NA,y,,G,isolated,M,NA,female,,
149,1,8:03:54 AM,,insemination,",3","2,",n,NA,n,,G,isolated,O,NA,female,,
151,1,10:24:34 AM,10:26:10 AM,insemination,",7","2,",n,NA,n,,L,isolated,O,NA,female,,
169,1,8:13:31 AM,,mount,",0","4,",y,y,NA,,A,social,Q,NA,female,,
