,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,X,patch_focal,treatment,patch_partner,partner_sex
189,1,3:07:30 PM,,",3","4,",y,y,NA,mount,,H,isolated,L,female
140,1,1:03:00 PM,,",8","9,",y,y,NA,mount,,D,social,P,female
176,1,2:15:33 PM,,",8","9,",y,y,NA,mount,,D,social,P,female
154,1,1:14:44 PM,,",1",",6",,,,mount,,C,social,B,male
167,1,1:54:50 PM,,",5",",1",,,,mount,,E,isolated,C,male
168,1,1:55:02 PM,,",1",",5",,,,mount,,C,social,E,male
58,1,8:50:18 AM,,",7",",8",,,,mount,,F,isolated,D,male
123,1,11:52:30 AM,,",3",",8",,,,mount,,H,isolated,D,male
66,1,9:12:44 AM,,",7",",8",,,,mount,,F,isolated,D,male
124,1,11:53:11 AM,,",3",",8",,,,mount,,H,isolated,D,male
71,1,9:30:48 AM,,",7",",8",,,,mount,,F,isolated,D,male
187,1,2:45:18 PM,,",8","9,",y,y,NA,mount,,D,social,P,female
46,1,8:23:49 AM,,",4",",7",,,,mount,,A,social,F,male
8,1,8:03:07 AM,,",8",",3",,,,mount,,D,social,H,male
26,1,8:11:09 AM,,",8",",7",,,,mount,,D,social,F,male
143,1,1:04:20 PM,,",4",",7",,,,mount,,A,social,F,male
28,1,8:11:10 AM,,",8",",7",,,,mount,,D,social,F,male
79,1,9:53:55 AM,,",7",",8",,,,mount,,F,isolated,D,male
30,1,8:14:54 AM,,",8",",7",,,,mount,,D,social,F,male
32,1,8:16:58 AM,,",8",",7",,,,mount,,D,social,F,male
91,1,10:37:31 AM,,",7",",4",,,,mount,,F,isolated,A,male
184,1,2:31:14 PM,,",0",",6",,,,mount,,G,isolated,B,male
147,1,1:08:15 PM,,",3",",8",,,,mount,,H,isolated,D,male
36,1,8:18:55 AM,,",8",",7",,,,mount,,D,social,F,male
122,1,11:52:18 AM,,",8",",3",,,,mount,,D,social,H,male
157,1,1:23:42 PM,,",8",",3",,,,mount,,D,social,H,male
161,1,1:28:44 PM,,",3",",8",,,,mount,,H,isolated,D,male
185,1,2:33:41 PM,,",3",",8",,,,mount,,H,isolated,D,male
191,1,3:11:59 PM,,",3",",8",,,,mount,,H,isolated,D,male
101,1,11:08:47 AM,,",7",",4",,,,mount,,F,isolated,A,male
102,1,11:09:11 AM,,",7",",4",,,,mount,,F,isolated,A,male
107,1,11:23:47 AM,,",7",",4",,,,mount,,F,isolated,A,male
142,1,1:04:13 PM,,",7",",8",,,,mount,,F,isolated,D,male
144,1,1:04:31 PM,,",7",",8",,,,mount,,F,isolated,D,male
173,1,2:12:00 PM,,",7",",4",,,,mount,,F,isolated,A,male
162,1,1:29:49 PM,,",8",",3",,,,mount,,D,social,H,male
199,1,3:27:35 PM,,",3",",7",,,,mount,,H,isolated,F,male
180,1,2:20:49 PM,,",7",",4",,,,mount,,F,isolated,A,male
183,1,2:24:30 PM,,",7",",4",,,,mount,,F,isolated,A,male
164,1,1:43:03 PM,,",8",",3",,,,mount,,D,social,H,male
200,1,3:27:40 PM,,",7",",3",,,,mount,,F,isolated,H,male
204,1,3:49:31 PM,,",1",",0",,,,mount,,C,social,G,male
205,1,3:49:38 PM,,",5",",1",,,,mount,,E,isolated,C,male
206,1,3:51:09 PM,,",7",",3",,,,mount,,F,isolated,H,male
207,1,3:53:16 PM,,",0",",1",,,,mount,,G,isolated,C,male
208,1,3:53:55 PM,,",5",",1",,,,mount,,E,isolated,C,male
209,1,3:54:58 PM,,",0",",6",,,,mount,,G,isolated,B,male
299,2,1:20:30 PM,1:20:46 PM,",6","1,",n,NA,n,insemination,,B,social,J,female
291,2,1:17:05 PM,1:17:33 PM,",7","4,",n,NA,n,insemination,,F,isolated,L,female
239,2,9:22:34 AM,9:23:10 AM,",0","8,",n,NA,n,insemination,,G,isolated,O,female
296,2,1:19:16 PM,1:20:03 PM,",3","9,",n,NA,n,insemination,,H,isolated,P,female
267,2,11:29:28 AM,,",7","7,",n,NA,y,mount,,F,isolated,N,female
321,2,2:15:05 PM,2:15:33 PM,",3","9,",y,n,n,insemination,,H,isolated,P,female
294,2,1:18:43 PM,,",3","9,",y,y,NA,mount,,H,isolated,P,female
249,2,10:07:44 AM,,",0","8,",n,NA,y,mount,,G,isolated,O,female
263,2,11:23:52 AM,11:24:16 AM,",5","8,",n,NA,n,insemination,,E,isolated,O,female
302,2,1:22:40 PM,,",3","6,",y,y,NA,mount,,H,isolated,M,female
252,2,10:30:57 AM,,",0","8,",n,NA,y,mount,,G,isolated,O,female
223,2,9:14:57 AM,9:15:26 AM,",1","8,",n,NA,n,insemination,,C,social,O,female
221,2,9:13:37 AM,,",1","8,",n,NA,y,mount,,C,social,O,female
337,2,3:33:04 PM,,",1","9,",n,NA,y,mount,,C,social,P,female
254,2,10:38:25 AM,,",0","8,",n,NA,y,mount,,G,isolated,O,female
335,2,3:30:22 PM,3:30:41 PM,",1","9,",y,n,n,insemination,,C,social,P,female
260,2,11:18:44 AM,,",1","7,",y,y,NA,mount,,C,social,N,female
323,2,2:24:03 PM,,",1","9,",y,y,NA,mount,,C,social,P,female
286,2,1:08:16 PM,,",6","8,",n,NA,y,mount,,B,social,O,female
258,2,10:48:42 AM,,",0","1,",n,NA,y,mount,,G,isolated,J,female
288,2,1:12:39 PM,,",0","1,",y,y,NA,mount,,G,isolated,J,female
325,2,2:26:39 PM,,",1","9,",y,y,NA,mount,,C,social,P,female
212,2,8:45:30 AM,,",0",",5",,,,mount,,G,isolated,E,male
271,2,11:42:40 AM,,",6","1,",y,y,NA,mount,,B,social,J,female
217,2,9:03:14 AM,,",0",",5",,,,mount,,G,isolated,E,male
338,2,3:34:37 PM,,",1","9,",y,y,NA,mount,,C,social,P,female
222,2,9:13:54 AM,,",1",",5",,,,mount,,C,social,E,male
225,2,9:15:35 AM,,",1",",0",,,,mount,,C,social,G,male
220,2,9:12:49 AM,,",0",",6",,,,mount,,G,isolated,B,male
224,2,9:15:15 AM,,",0",",5",,,,mount,,G,isolated,E,male
244,2,9:30:11 AM,,",5","8,",n,NA,y,mount,,E,isolated,O,female
218,2,9:05:42 AM,9:08:12 AM,",5","8,",y,n,n,insemination,,E,isolated,O,female
320,2,2:03:51 PM,,",6","1,",y,y,na,mount,,B,social,J,female
210,2,8:13:57 AM,,",6",",5",,,,mount,,B,social,E,male
322,2,2:22:41 PM,2:23:05 PM,",5","9,",y,n,n,insemination,,E,isolated,P,female
240,2,9:23:26 AM,,",5",",0",,,,mount,,E,isolated,G,male
241,2,9:23:38 AM,,",5",",6",,,,mount,,E,isolated,B,male
245,2,9:30:22 AM,,",5",",1",,,,mount,,E,isolated,C,male
228,2,9:17:05 AM,,",6",",5",,,,mount,,B,social,E,male
229,2,9:17:10 AM,,",0",",1",,,,mount,,G,isolated,C,male
250,2,10:17:26 AM,,",8","0,",n,NA,y,mount,,D,social,I,female
251,2,10:22:22 AM,10:22:38 AM,",8","0,",n,NA,n,insemination,,D,social,I,female
230,2,9:17:19 AM,,",0",",1",,,,mount,,G,isolated,C,male
233,2,9:18:09 AM,,",6",",5",,,,mount,,B,social,E,male
232,2,9:17:35 AM,,",0",",1",,,,mount,,G,isolated,C,male
242,2,9:24:16 AM,,",6",",1",,,,mount,,B,social,C,male
243,2,9:25:08 AM,,",6",",0",,,,mount,,B,social,G,male
234,2,9:18:31 AM,,",0",",1",,,,mount,,G,isolated,C,male
238,2,9:22:23 AM,,",0",",1",,,,mount,,G,isolated,C,male
259,2,10:52:59 AM,,",8","6,",n,NA,y,mount,,D,social,M,female
226,2,9:16:23 AM,,",1",",1",,,,mount,,C,social,C,male
324,2,2:24:29 PM,,",4","9,",n,NA,y,mount,,A,social,P,female
297,2,1:19:25 PM,,",7","7,",n,NA,y,mount,,F,isolated,N,female
246,2,9:30:46 AM,,",5",",1",,,,mount,,E,isolated,C,male
308,2,1:25:11 PM,,",7","6,",n,NA,y,mount,,F,isolated,M,female
227,2,9:16:55 AM,,",1",",0",,,,mount,,C,social,G,male
231,2,9:17:27 AM,,",1",",0",,,,mount,,C,social,G,male
318,2,1:53:22 PM,,",7","2,",n,NA,y,mount,,F,isolated,K,female
248,2,9:31:43 AM,,",6",",1",,,,mount,,B,social,C,male
253,2,10:33:05 AM,,",6",",1",,,,mount,,B,social,C,male
336,2,3:32:15 PM,,",4","9,",y,y,NA,mount,,A,social,P,female
255,2,10:45:38 AM,,",6",",5",,,,mount,,B,social,E,male
261,2,11:20:23 AM,,",4",",1",,,,mount,,A,social,C,male
319,2,1:54:54 PM,,",7","2,",n,NA,y,mount,,F,isolated,K,female
331,2,2:48:01 PM,,",7","9,",n,NA,y,mount,,F,isolated,P,female
276,2,12:15:19 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
289,2,1:16:48 PM,,",8","7,",n,NA,y,mount,,D,social,N,female
256,2,10:45:50 AM,,",6",",5",,,,mount,,B,social,E,male
270,2,11:42:16 AM,,",4",",1",,,,mount,,A,social,C,male
272,2,11:43:39 AM,,",4",",1",,,,mount,,A,social,C,male
278,2,12:23:11 PM,,",4",",1",,,,mount,,A,social,C,male
279,2,12:23:19 PM,,",4",",1",,,,mount,,A,social,C,male
235,2,9:18:38 AM,,",1",",0",,,,mount,,C,social,G,male
280,2,12:24:04 PM,,",4",",1",,,,mount,,A,social,C,male
247,2,9:31:04 AM,,",5",",0",,,,mount,,E,isolated,G,male
284,2,12:52:15 PM,,",5",",6",,,,mount,,E,isolated,B,male
268,2,11:36:34 AM,,",6",",5",,,,mount,,B,social,E,male
269,2,11:36:44 AM,,",6",",0",,,,mount,,B,social,G,male
257,2,10:46:02 AM,,",0",",5",,,,mount,,G,isolated,E,male
314,2,1:34:04 PM,,",8","2,",n,NA,y,mount,,D,social,K,female
332,2,2:48:49 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
274,2,12:03:15 PM,,",7","7,",y,n,y,mount,,F,isolated,N,female
339,2,3:51:17 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
277,2,12:21:30 PM,,",6",",5",,,,mount,,B,social,E,male
304,2,1:23:51 PM,,",3","6,",y,y,NA,mount,,H,isolated,M,female
313,2,1:30:14 PM,,",7","7,",y,n,y,mount,,F,isolated,N,female
334,2,3:21:33 PM,,",3","9,",y,y,NA,mount,,H,isolated,P,female
333,2,2:50:11 PM,,",7","9,",y,n,y,mount,,F,isolated,P,female
341,2,3:53:06 PM,,",8","9,",n,NA,y,mount,,D,social,P,female
287,2,1:12:29 PM,,",6",",0",,,,mount,,B,social,G,male
340,2,3:51:29 PM,,",7","9,",y,n,y,mount,,F,isolated,P,female
273,2,11:51:32 AM,,",7","7,",y,y,NA,mount,,F,isolated,N,female
343,2,3:54:34 PM,,",3","2,",y,y,NA,mount,,H,isolated,K,female
301,2,1:22:06 PM,,",7","2,",y,y,NA,mount,,F,isolated,K,female
213,2,9:02:24 AM,,",3",",7",,,,mount,,H,isolated,F,male
215,2,9:02:41 AM,,",3",",7",,,,mount,,H,isolated,F,male
303,2,1:23:01 PM,,",7","4,",y,y,na,mount,,F,isolated,L,female
306,2,1:24:24 PM,,",7","2,",y,y,NA,mount,,F,isolated,K,female
310,2,1:27:28 PM,,",7","2,",y,y,NA,mount,,F,isolated,K,female
311,2,1:27:52 PM,,",7","4,",y,y,NA,mount,,F,isolated,L,female
326,2,2:32:03 PM,,",7","2,",y,y,NA,mount,,F,isolated,K,female
328,2,2:33:11 PM,,",7","2,",y,y,NA,mount,,F,isolated,K,female
275,2,12:03:28 PM,,",8","2,",y,y,NA,mount,,D,social,K,female
329,2,2:33:55 PM,,",7","0,",y,y,NA,mount,,F,isolated,I,female
342,2,3:53:49 PM,,",8","9,",y,y,NA,mount,,D,social,P,female
330,2,2:46:09 PM,,",7","4,",y,y,NA,mount,,F,isolated,L,female
211,2,8:30:33 AM,,",7",",3",,,,mount,,F,isolated,H,male
214,2,9:02:32 AM,,",7",",3",,,,mount,,F,isolated,H,male
262,2,11:21:24 AM,,",7",",3",,,,mount,,F,isolated,H,male
264,2,11:24:57 AM,,",7",",3",,,,mount,,F,isolated,H,male
293,2,1:18:01 PM,,",6",",0",,,,mount,,B,social,G,male
216,2,9:03:00 AM,,",3",",7",,,,mount,,H,isolated,F,male
285,2,12:54:52 PM,,",5",",6",,,,mount,,E,isolated,B,male
236,2,9:19:04 AM,,",1",",0",,,,mount,,C,social,G,male
281,2,12:24:30 PM,,",4",",1",,,,mount,,A,social,C,male
237,2,9:22:18 AM,,",1",",5",,,,mount,,C,social,E,male
290,2,1:16:57 PM,,",8",",7",,,,mount,,D,social,F,male
300,2,1:21:13 PM,,",7",",8",,,,mount,,F,isolated,D,male
307,2,1:24:35 PM,,",7",",8",,,,mount,,F,isolated,D,male
309,2,1:27:18 PM,,",7",",8",,,,mount,,F,isolated,D,male
315,2,1:34:52 PM,,",7",",8",,,,mount,,F,isolated,D,male
292,2,1:17:34 PM,,",8",",7",,,,mount,,D,social,F,male
316,2,1:48:24 PM,,",7",",8",,,,mount,,F,isolated,D,male
219,2,9:08:49 AM,,",3",",7",,,,mount,,H,isolated,F,male
265,2,11:26:32 AM,,",1",",4",,,,mount,,C,social,A,male
283,2,12:45:55 PM,,",4",",1",,,,mount,,A,social,C,male
266,2,11:28:53 AM,,",1",",4",,,,mount,,C,social,A,male
282,2,12:24:38 PM,,",1",",4",,,,mount,,C,social,A,male
298,2,1:19:43 PM,1:20:07 PM,",8",",7",,,,mount,,D,social,N,male
317,2,1:52:22 PM,`,",7",",8",,,,mount,,F,isolated,D,male
312,2,1:28:56 PM,,",8",",7",,,,mount,,D,social,F,male
327,2,2:32:47 PM,,",8",",7",,,,mount,,D,social,F,male
