,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex
403,2,2:50:21 PM,,",3","6,",y,y,NA,mount,,E,isolated,N,female
404,2,2:55:05 PM,,",1","1,",y,n,y,mount,,B,social,J,female
405,2,3:04:29 PM,,",3","6,",y,y,NA,mount,,E,isolated,N,female
406,2,3:05:14 PM,3:05:37 PM,",0","1,",y,n,n,insemination,,H,isolated,J,female
407,2,3:08:11 PM,,",7",",0",,,,mount,,F,isolated,H,male
408,2,3:10:37 PM,,",5","1,",y,y,NA,mount,,C,social,J,female
409,2,3:10:51 PM,,",1",",5",,,,mount,,B,social,C,male
410,2,3:11:16 PM,3:11:46 PM,",8","1,",y,n,n,insemination,,D,social,J,female
411,2,3:11:38 PM,,",7",",9",,,,mount,,F,isolated,A,male
412,2,3:12:01 PM,,",3","6,",y,y,NA,mount,,E,isolated,N,female
413,2,3:12:14 PM,,",7",",8",,,,mount,,F,isolated,D,male
414,2,3:14:34 PM,3:14:58 PM,",9","1,",y,n,n,insemination,,A,social,J,female
415,2,3:18:53 PM,,",3","6,",n,NA,y,mount,,E,isolated,N,female
416,2,3:21:47 PM,,",3","8,",n,NA,y,mount,,E,isolated,P,female
417,2,3:23:22 PM,,",0",",3",,,,mount,,H,isolated,E,male
418,2,3:54:33 PM,,",5",",2",,,,mount,"end: 25.8 C, 57% RH",C,social,G,male
