group,replicate,day,time,location,members,notes
86,2,2,1400,1,O M H F,
87,2,2,1400,2,E C B G,
88,2,2,1400,4,A P K J,
89,2,2,1500,1,N F M H O,
90,2,2,1500,2,E C G B,
91,2,2,1500,4,A K P J,
92,2,2,1600,1,N O M F H,
93,2,2,1600,2,C G B I E,
94,2,2,1600,4,P K A J,
95,3,1,900,1,F N A L,
96,3,1,900,2,H K M,
97,3,1,900,4,G O E C P B,
98,3,1,1000,1,N A F L,
99,3,1,1000,2,D K J H M,
100,3,1,1000,4,O C G E P B,
101,3,1,1100,1,L N F,
102,3,1,1100,2,D M K J H,
103,3,1,1100,4,E C O P B G,
104,3,1,1200,1,A N F,
105,3,1,1200,2,M L K J H,
106,3,1,1200,3,I D,
107,3,1,1200,4,G E O C B P,
108,3,1,1300,1,A N F,
109,3,1,1300,2,K L M J H,
110,3,1,1300,3,I D,
111,3,1,1300,4,C E B G O,
112,3,1,1400,1,A N F,
113,3,1,1400,2,L J H,
114,3,1,1400,3,M I,
115,3,1,1400,4,C B E O G,
116,3,1,1500,1,A N F,
117,3,1,1500,2,A L J,
118,3,1,1500,3,K I M,
119,3,1,1500,4,C B E G O,
120,3,1,1600,1,A K,
121,3,1,1600,2,H F L J,
122,3,1,1600,3,D I K M,
123,3,1,1600,4,E B C G O,
124,3,2,800,1,A N,
125,3,2,800,2,H F,
126,3,2,800,3,P L K D I M,
127,3,2,800,4,E B C O J G,
128,3,2,900,1,A N,
129,3,2,900,2,H F,
130,3,2,900,3,L K D P I M,
131,3,2,900,4,C B E O G J,
132,3,2,1000,1,A N,
133,3,2,1000,2,H F,
134,3,2,1000,3,P D K L I M,
135,3,2,1000,4,C E B O G J,
136,3,2,1100,1,N A C,
137,3,2,1100,2,F H,
138,3,2,1100,3,P I D M K L,
139,3,2,1100,4,J B G O E,
140,3,2,1200,1,P I L D M K,
141,3,2,1200,2,B J G E O,
142,3,2,1300,1,C A,
143,3,2,1300,2,M I L N D K,
144,3,2,1300,3,G J O B E,
145,3,2,1400,1,N C A,
146,3,2,1400,2,M H P,
147,3,2,1400,3,F I L D K,
148,3,2,1400,4,G J O B E,
149,3,2,1300,1,C A N,
150,3,2,1300,2,H M,
151,3,2,1300,3,I P L D F K,
152,3,2,1300,4,B J O G E,
153,3,2,1400,1,N A C,
154,3,2,1400,2,M K H,
155,3,2,1400,3,I L P F D,
156,3,2,1400,4,B J O G E,
157,4,1,900,3,K J A L,
158,4,1,900,4,N C D,
159,4,1,1000,1,B M,
160,4,1,1000,3,J K P L H A,
161,4,1,1000,4,C N D,
162,4,1,1100,1,M B,
163,4,1,1100,3,A P J K L H,
164,4,1,1100,4,D N C,
165,4,1,1200,1,B M,
166,4,1,1200,3,K P L H O J A,
167,4,1,1200,4,A D C N,
168,4,1,1300,1,M N,
169,4,1,1300,3,K O A P J L H,
170,4,1,1300,4,B I G D C,
171,4,1,1400,1,N E B,
172,4,1,1400,3,K A O M J P H L,
173,4,1,1400,4,D I C,
174,4,1,1500,2,F B,
175,4,1,1500,3,K A O J E G M L H,
176,4,1,1500,4,P D C I,
177,4,1,1600,2,N F C B,
178,4,1,1600,3,A O E M G H K J L,
179,4,1,1600,4,D P,
180,4,2,800,2,E C P B N F,
181,4,2,800,3,G L O A M K H J,
182,4,2,800,4,I D,
183,4,2,900,2,F C N P B E,
184,4,2,900,3,L O M A G K H J,
185,4,2,900,4,I D,
186,4,2,1000,2,F N E B C P,
187,4,2,1000,3,G L O M A J K H,
188,4,2,1000,4,I D,
189,4,2,1100,2,N F E B C P,
190,4,2,1100,3,L O A K G J H,
191,4,2,1100,4,I D,
192,4,2,1200,2,F B C,
193,4,2,1200,3,L O A K G H J,
194,4,2,1200,4,I M D,
195,4,2,1300,2,F E C,
196,4,2,1300,3,L O G H A K J,
197,4,2,1300,4,I D,
198,4,2,1400,2,F C E,
199,4,2,1400,3,A G L O J K H,
200,4,2,1400,4,I D,
201,4,2,1500,2,A L F C,
202,4,2,1500,3,G O H D J P K,
203,4,2,1500,4,I E B,
204,4,2,1600,2,F L M C A O,
205,4,2,1600,3,D H K N G P J,
206,4,2,1600,4,B E,
207,5,1,900,1,B L P,
208,5,1,900,2,K H C A E F,
209,5,1,900,3,O J,
210,5,1,900,4,G M D I,
211,5,1,1000,1,P L B,
212,5,1,1000,2,H K C E A F,
213,5,1,1000,3,J O,
214,5,1,1000,4,I D M G,
215,5,1,1100,1,B P,
216,5,1,1100,2,H A L C K E N F,
217,5,1,1100,3,J O,
218,5,1,1100,4,M I D G,
219,5,1,1200,1,B P,
220,5,1,1200,2,N A H F E C K,
221,5,1,1200,4,M D I O G,
222,5,1,1300,1,B P D,
223,5,1,1300,2,M H F C A K E,
224,5,1,1300,4,I D G,
225,5,1,1400,1,B P O,
226,5,1,1400,2,M A H N C E K F,
227,5,1,1400,4,G D,
228,5,1,1500,2,M A C N F H E K,
229,5,1,1500,4,D G,
230,5,1,1600,2,E H C F I A K,
231,5,1,1600,3,P O J,
232,5,1,1600,4,D G,
233,5,2,800,1,B D,
234,5,2,800,2,I C L K A H F E M,
235,5,2,800,3,P O J,
236,5,2,800,4,G N,
237,5,2,900,1,D B,
238,5,2,900,2,H I A E C F L M K,
239,5,2,900,3,P O J,
240,5,2,1000,1,D G B,
241,5,2,1000,2,I L A M H E C,
242,5,2,1000,3,J F P O K,
243,5,2,1100,2,C H A M E,
244,5,2,1100,3,P O J I,
245,5,2,1200,2,A C L D M H K E,
246,5,2,1200,3,J P O,
247,5,2,1300,2,M B J D H C,
248,5,2,1300,3,P O,
249,5,2,1400,2,C D M H B J,
250,5,2,1400,3,O P,
251,5,2,1500,2,B D C H N J O M,
252,5,2,1500,3,L K,
253,5,2,1600,2,C H N P B M O J D E,
254,5,2,1600,3,K L,
255,6,1,900,2,F I L D N B M,
256,6,1,900,3,O J,
257,6,1,1000,2,M I D F P B L,
258,6,1,1000,3,J O,
259,6,1,1100,2,P B D I M F L,
260,6,1,1100,3,O J,
261,6,1,1200,2,P M L I B F,
262,6,1,1200,3,J O,
263,6,1,1300,2,P F B I C M L,
264,6,1,1300,3,N K D A O E,
265,6,1,1400,2,L I F B M P C J,
266,6,1,1400,3,K D H A N E O,
267,6,1,1500,2,B F M P I C,
268,6,1,1500,3,O H D E A N,
269,6,1,1600,1,J K,
270,6,1,1600,2,I F B P M C,
271,6,1,1600,3,H O A D E N,
272,6,2,800,1,F K,
273,6,2,800,2,M B I O C G P,
274,6,2,800,3,A H D E L,
275,6,2,800,4,N J,
276,6,2,900,2,I M B P G O C,
277,6,2,900,3,L E H A D,
278,6,2,900,4,N J,
279,6,2,1000,2,O G M B I P C,
280,6,2,1000,3,H A D,
281,6,2,1000,4,K N J,
282,6,2,1100,2,G P B I C,
283,6,2,1100,3,A H D L,
284,6,2,1200,2,P B G I C,
285,6,2,1200,3,D O M A H,
286,6,2,1300,2,B G C I,
287,6,2,1300,3,D M O A H,
288,6,2,1300,4,E L,
289,6,2,1400,2,I O B G C,
290,6,2,1400,3,A E D H F,
291,6,2,1500,1,K E,
292,6,2,1500,2,B G J C O,
293,6,2,1500,3,F D H A,
294,6,2,1600,1,M N K,
295,6,2,1600,2,O E B I C G,
296,6,2,1600,3,F A H D J,
