,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex,
54,1,8:36:38 AM,,",9",",2",,,,mount,,E,isolated,D,male,
56,1,8:37:46 AM,,",9",",2",,,,mount,,E,isolated,D,male,
125,1,11:24:58 AM,,",8",",2",,,,mount,,C,social,D,male,
126,1,11:26:27 AM,,",8",",2",,,,mount,,C,social,D,male,
179,1,2:42:48 PM,,",7","8,",n,NA,y,mount,,F,isolated,N,female,
185,1,3:21:43 PM,,",7","8,",n,NA,y,mount,,F,isolated,N,female,
186,1,3:24:28 PM,,",7","2,",n,NA,y,mount,,F,isolated,J,female,
50,1,8:32:53 AM,,",0",",7",,,,mount,,H,isolated,F,male,
62,1,8:44:38 AM,,",9",",2",,,,mount,,E,isolated,D,male,
2,1,8:02:57 AM,,",2",",8",,,,mount,,D,social,C,male,
127,1,11:26:48 AM,,",8",",2",,,,mount,,C,social,D,male,
188,1,3:25:08 PM,,",7","2,",n,NA,y,mount,,F,isolated,J,female,
78,1,9:06:16 AM,,",9",",2",,,,mount,,E,isolated,D,male,
103,1,9:47:20 AM,,",9",",2",,,,mount,,E,isolated,D,male,
55,1,8:37:09 AM,,",0",",7",,,,mount,,H,isolated,F,male,
104,1,10:13:23 AM,,",9",",2",,,,mount,,E,isolated,D,male,
80,1,9:07:27 AM,,",0",",7",,,,mount,,H,isolated,F,male,
89,1,9:19:25 AM,,",0",",7",,,,mount,,H,isolated,F,male,
189,1,3:38:25 PM,,",7","9,",n,NA,y,mount,,F,isolated,O,female,
29,1,8:19:38 AM,,",2",",9",,,,mount,,D,social,E,male,
145,1,12:33:39 PM,,",8",",4",,,,mount,,C,social,G,male,
85,1,9:14:41 AM,,",4",",5",,,,mount,,G,isolated,B,male,
98,1,9:33:20 AM,,",4",",5",,,,mount,,G,isolated,B,male,
121,1,11:12:56 AM,11:13:13 AM,",7","3,",y,n,n,insemination,,F,isolated,K,female,
32,1,8:20:38 AM,,",2",",9",,,,mount,,D,social,E,male,
109,1,10:24:53 AM,,",9",",2",,,,mount,,E,isolated,D,male,
92,1,9:22:07 AM,,",0",",7",,,,mount,,H,isolated,F,male,
