replicate,day,start_time,end_time,focal,partner,partner_avoid,avoid_success,male_abort,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex
1,1,12:48:25 PM,,",9",",8",,,,mount,,B,social,F,male
1,1,12:48:42 PM,,",3",",1",,,,mount,,H,isolated,D,male
1,1,12:48:51 PM,,",7","8,",n,NA,y,mount,,G,isolated,O,female
1,1,12:49:56 PM,,",0",",4",,,,mount,,E,isolated,A,male
1,1,12:50:16 PM,,",7","8,",n,NA,y,mount,,G,isolated,O,female
1,1,12:50:26 PM,,",8",",7",,,,mount,,F,isolated,G,male
1,1,12:52:37 PM,,",0","9,",n,NA,y,mount,,E,isolated,P,female
1,1,12:54:01 PM,,",8",",7",,,,mount,,F,isolated,G,male
1,1,12:54:01 PM,,",7",",8",,,,mount,,G,isolated,F,male
1,1,12:54:36 PM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,1:01:01 PM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,1:05:08 PM,,",0","9,",y,y,NA,mount,,E,isolated,P,female
1,1,1:10:44 PM,,",0","0,",y,y,NA,mount,,E,isolated,I,female
1,1,1:15:03 PM,,",0","1,",n,NA,y,mount,,E,isolated,J,female
1,1,1:15:21 PM,,",0","1,",n,NA,y,mount,,E,isolated,J,female
1,1,1:15:57 PM,,",0","1,",n,NA,y,mount,,E,isolated,J,female
1,1,1:19:40 PM,,",2","9,",n,NA,y,mount,,C,social,P,female
1,1,1:20:05 PM,,",2","9,",y,y,NA,mount,,C,social,P,female
1,1,1:22:26 PM,,",4","4,",n,NA,y,mount,,A,social,L,female
1,1,1:22:56 PM,1:23:18 PM,",8","4,",n,NA,n,insemination,,F,isolated,L,female
1,1,1:23:53 PM,,",7","8,",n,NA,y,mount,,G,isolated,O,female
1,1,1:24:29 PM,,",7",",8",,,,mount,,G,isolated,F,male
1,1,1:25:00 PM,,",7",",8",,,,mount,,G,isolated,F,male
1,1,1:29:11 PM,,",7",",8",,,,mount,,G,isolated,F,male
1,1,1:33:02 PM,,",2","9,",y,y,NA,mount,,C,social,P,female
1,1,1:34:03 PM,,",2","9,",y,y,NA,mount,,C,social,P,female
1,1,1:34:12 PM,1:34:55 PM,",0","1,",n,NA,n,insemination,,E,isolated,J,female
1,1,1:36:28 PM,,",0","0,",y,y,NA,mount,,E,isolated,I,female
1,1,1:40:29 PM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
