"","day","start_time","end_time","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","behaviour","notes","patch_focal","treatment","patch_partner","partner_sex"
"324",2,"11:54:13 AM","",",4","1,","y","y",NA,"mount","","A","social","J","female"
"325",2,"11:54:27 AM","11:54:52 AM",",4","1,","n",NA,"n","insemination","","A","social","J","female"
"326",2,"11:54:44 AM","",",1",",4","","","","mount","","D","social","A","male"
"327",2,"12:06:37 PM","",",8",",0","","","","mount","","F","isolated","E","male"
"328",2,"12:06:51 PM","12:07:35 PM",",8","6,","N",NA,"N","insemination","","F","isolated","N","female"
"329",2,"12:07:54 PM","",",0",",8","","","","mount","","E","isolated","F","male"
"330",2,"12:08:50 PM","",",9","2,","N",NA,"Y","mount","","B","social","K","female"
"331",2,"12:10:47 PM","",",9","2,","N",NA,"Y","mount","","B","social","K","female"
"332",2,"12:11:08 PM","",",3","6,","Y","N","Y","mount","","H","isolated","N","female"
"333",2,"12:11:31 PM","",",2","2,","N",NA,"Y","mount","","C","social","K","female"
"334",2,"12:12:05 PM","",",9",",2","","","","mount","","B","social","C","male"
"335",2,"12:12:58 PM","",",0",",8","","","","mount","","E","isolated","F","male"
"336",2,"12:13:02 PM","",",7","6,","N",NA,"Y","mount","","G","isolated","N","female"
"337",2,"12:13:44 PM","",",7",",0","","","","mount","","G","isolated","E","male"
"338",2,"12:16:15 PM","",",0",",7","","","","mount","","E","isolated","G","male"
"339",2,"12:16:48 PM","",",8",",0","","","","mount","","F","isolated","E","male"
"340",2,"12:18:15 PM","",",4",",1","","","","mount","","A","social","D","male"
"341",2,"12:19:11 PM","",",4",",1","","","","mount","","A","social","D","male"
"342",2,"12:19:13 PM","",",9",",9","","","","mount","","B","social","B","male"
"343",2,"12:19:15 PM","",",4","1,","N",NA,"Y","mount","","A","social","J","female"
"344",2,"12:19:21 PM","",",9",",4","","","","mount","","B","social","A","male"
"345",2,"12:19:30 PM","",",4","1,","Y","Y",NA,"mount","","A","social","J","female"
"346",2,"12:29:38 PM","12:30:03 PM",",2","2,","Y","N","Y","mount","","C","social","K","female"
"347",2,"12:34:41 PM","12:35:16 PM",",3","8,","N",NA,"N","insemination","","H","isolated","O","female"
"348",2,"12:35:07 PM","",",8",",7","","","","mount","","F","isolated","G","male"
"349",2,"12:38:09 PM","",",9",",1","","","","mount","","B","social","D","male"
"350",2,"12:44:21 PM","12:45:20 PM",",0","6,","Y","N","N","insemination","","E","isolated","N","female"
"351",2,"12:47:13 PM","",",8",",0","","","","mount","","F","isolated","E","male"
