day,start_time,end_time,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),behaviour,notes
1,12:31:43 PM,,",9","8,",n,NA,y,mount,
1,12:33:23 PM,,",2","8,",y,y,NA,mount,
1,12:33:39 PM,,",8",",4",,,,mount,
1,12:37:05 PM,,",7","3,",y,y,NA,mount,
1,12:38:58 PM,,",9","8,",y,y,NA,mount,
1,12:40:01 PM,,",9","8,",y,y,NA,mount,
1,12:41:10 PM,,",0","3,",n,NA,y,mount,
1,12:42:01 PM,,",9","8,",y,y,NA,mount,
1,12:43:44 PM,,",0","8,",n,NA,y,mount,
1,12:48:24 PM,,",0","3,",n,NA,y,mount,
1,12:51:07 PM,12:51:52 PM,",7","9,",N,NA,N,insemination,
1,1:02:26 PM,1:02:37 PM,",2","8,",N,NA,N,insemination,
1,1:02:48 PM,,",8","8,",n,NA,y,mount,
1,1:06:09 PM,,",4",",8",,,,mount,
1,1:09:58 PM,1:10:19 PM,",4","2,",n,NA,n,insemination,
1,1:15:12 PM,,",7",",0",,,,mount,
1,1:17:09 PM,,",2",",8",,,,mount,
1,1:28:09 PM,,",9","2,",y,y,NA,mount,
1,1:30:59 PM,,",0",",7",,,,mount,
1,1:31:12 PM,,",7","3,",n,NA,y,mount,
1,1:31:28 PM,,",0",",7",,,,mount,
1,1:34:17 PM,,",7","3,",n,NA,y,mount,
1,1:43:34 PM,,",2","0,",y,n,y,mount,
1,1:44:52 PM,,",2",",4",,,,mount,
1,1:45:00 PM,,",4",",2",,,,mount,
1,1:46:13 PM,1:46:36 PM,",1","3,",n,NA,n,insemination,
1,2:03:58 PM,,",4",",8",,,,mount,
1,2:04:54 PM,,",2","0,",n,NA,y,mount,
1,2:28:51 PM,,",2","0,",n,NA,y,mount,
1,2:31:50 PM,,",2","0,",n,NA,y,mount,
1,2:33:53 PM,,",2","0,",n,NA,y,mount,
1,2:37:36 PM,,",2","8,",n,NA,y,mount,
1,2:37:53 PM,,",2","8,",n,NA,y,mount,
1,2:38:58 PM,,",4","8,",n,NA,y,mount,
1,2:40:19 PM,,",2","0,",n,NA,y,mount,
1,2:42:42 PM,,",9",",8",,,,mount,
1,2:42:48 PM,,",7","8,",n,NA,y,mount,
1,2:44:33 PM,,",0","8,",n,NA,y,mount,
1,2:44:50 PM,,",7",",0",,,,mount,
1,2:49:52 PM,,",7",",0",,,,mount,
