day,start_time,end_time,behaviour,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),Notes,,,,
1,2:22:36 PM,,insemination,",8","5,",n,NA,n,,,,,
1,2:28:28 PM,,mount,",4",",2",,,,,,,,
1,2:28:54 PM,,mount,",3","3,",n,NA,y,,,,,
1,2:34:27 PM,,mount,",2","0,",n,NA,y,,,,,
1,2:35:09 PM,,mount,",4",",2",,,,,,,,
1,2:35:23 PM,,mount,",4","0,",n,NA,y,,,,,
1,2:40:46 PM,,mount,",8","5,",n,NA,y,,,,,
1,2:43:03 PM,,mount,",9","0,",n,NA,y,,,,,
1,2:52:04 PM,,mount,",3","5,",n,NA,y,,,,,
1,3:09:12 PM,,mount,:0,"7,",y,y,NA,,,,,
1,3:14:49 PM,,mount,",3","5,",n,NA,y,,,,,
1,3:17:10 PM,,mount,",3","5,",n,NA,y,,,,,
1,3:17:12 PM,,mount,",5",",3",,,,,,,,
1,3:21:01 PM,,mount,;0,",0",,,,,,,,
1,3:24:30 PM,,mount,",6","2,",n,NA,y,,,,,
1,3:26:02 PM,,mount,",2","0,",n,NA,y,,,,,
1,3:30:27 PM,,mount,",1",",6",,,,,,,,
1,3:31:24 PM,,mount,",1","2,",y,y,NA,,,,,
1,3:41:25 PM,,mount,",8","3,",n,NA,y,,,,,
1,3:42:52 PM,,mount,",8","3,",n,NA,y,,,,,
1,3:47:04 PM,,mount,",3","9,",n,NA,y,,,,,
1,3:48:43 PM,,mount,",6",",1",,,,,,,,
2,8:26:54 AM,,mount,",6","2,",n,NA,y,,,,,
2,9:23:02 AM,,mount,",6",",1",,,,,,,,
2,9:28:34 AM,,mount,",4",",2",,,,,,,,
2,9:32:02 AM,,mount,",2",",4",,,,,,,,
2,9:32:17 AM,,mount,",4",",2",,,,,,,,
2,9:32:55 AM,,mount,",6","8,",n,NA,y,,,,,
2,9:45:40 AM,,mount,",6","2,",y,y,NA,,,,,
2,10:34:43 AM,,mount,",8",",3",,,,,,,,
2,11:16:16 AM,,mount,",3",",8",,,,,,,,
2,11:25:14 AM,,mount,",6",",1",,,,,,,,
2,11:36:56 AM,,mount,",2",6.,y,y,NA,,,,,
2,11:45:31 AM,,mount,",4",",2",,,,,,,,
2,11:49:10 AM,11:50:20 AM,insemination,",6","8,",n,NA,n,,,,,
2,11:50:52 AM,,mount,",1",",6",,,,,,,,
2,12:08:05 PM,12:09:52 PM,insemination,:0,"7,",n,NA,n,,,,,
2,12:17:06 PM,,mount,",6","8,",y,n,y,,,,,
2,12:17:41 PM,,mount,",1",",6",,,,,,,,
2,12:18:05 PM,,insemination,",1","8,",y,n,n,,,,,
2,12:28:21 PM,,mount,:1,",9",,,,,,,,
2,12:29:10 PM,12:29:50 PM,insemination,",8","9,",n,NA,n,,,,,
