"","day","start_time","end_time","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","behaviour","notes","patch_focal","patch_partner","treatment"
"151",2,"1:07:30 PM","",",6","4,","y","y",NA,"mount","","C","O","isolated"
"152",2,"1:14:19 PM","",",6","4,","y","y",NA,"mount","","C","O","isolated"
"153",2,"1:17:45 PM","",",5","1,","y","y",NA,"mount","","E","N","isolated"
"154",2,"1:17:59 PM","1:18:40 PM",",4","1,","n",NA,"n","insemination","","D","N","isolated"
"155",2,"1:18:58 PM","",",6","4,","y","y",NA,"mount","","C","O","isolated"
"156",2,"1:24:58 PM","1:25:42 PM",",4","0,","n",NA,"n","insemination","","D","M","isolated"
"157",2,"1:27:24 PM","",",4","0,","y","y",NA,"mount","","D","M","isolated"
"158",2,"1:30:09 PM","1:30:52 PM",",1","0,","y","n","n","insemination","","B","M","isolated"
"159",2,"1:31:46 PM","1:32:32 PM",",0","0,","y","n","n","insemination","","A","M","isolated"
"160",2,"1:36:25 PM","",",6","4,","n",NA,"y","mount","","C","O","isolated"
"161",2,"1:38:25 PM","",",7","1,","y","y",NA,"mount","","F","N","isolated"
"162",2,"1:38:38 PM","1:39:09 PM",",1","7,","n",NA,"n","insemination","","B","P","isolated"
"163",2,"1:47:48 PM","",",4","4,","n",NA,"y","mount","","D","O","isolated"
"164",2,"1:54:24 PM","1:55:13 PM",",7","2,","n",NA,"n","insemination","","F","I","social"
"165",2,"2:08:55 PM","2:09:35 PM",",9","6,","y","n","n","insemination","","H","K","social"
"166",2,"2:17:53 PM","",",8","4,","y","y",NA,"mount","","G","O","isolated"
"167",2,"2:28:11 PM","",",6","4,","y","y",NA,"mount","","C","O","isolated"
"168",2,"2:30:40 PM","",",8","1,","y","y",NA,"mount","","G","N","isolated"
"169",2,"2:32:59 PM","",",8","1,","y","y",NA,"mount","","G","N","isolated"
"170",2,"2:33:55 PM","",",6","1,","y","y",NA,"mount","","C","N","isolated"
"171",2,"2:46:38 PM","",",6","1,","y","y",NA,"mount","","C","N","isolated"
"172",2,"3:25:27 PM","",",6","2,","y","y",NA,"mount","","C","I","social"
