,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,patch_partner,treatment,,,
107,2,12:10:21 PM,,",3","9,",n,NA,y,mount,,C,N,isolated,,,
108,2,12:12:38 PM,,",2","1,",n,NA,y,mount,,B,J,social,,,
115,2,12:18:10 PM,,",3","9,",n,NA,y,mount,,C,N,isolated,,,
117,2,12:20:19 PM,,",5","5,",n,NA,y,mount,,E,K,social,,,
122,2,12:23:21 PM,,",3","1,",n,NA,y,mount,,C,J,social,,,
123,2,12:23:36 PM,,",3","5,",n,NA,y,mount,,C,K,social,,,
124,2,12:25:20 PM,,",3","4,",n,NA,y,mount,,C,O,isolated,,,
127,2,12:26:26 PM,,",3","4,",n,NA,y,mount,,C,O,isolated,,,
128,2,12:27:23 PM,12:28:26 PM,",5","5,",n,NA,n,insemination,,E,K,social,,,
129,2,12:27:49 PM,,",3","1,",n,NA,y,mount,,C,J,social,,,
133,2,12:33:48 PM,,",3","0,",n,NA,y,mount,,C,M,isolated,,,
134,2,12:33:49 PM,,",3","0,",n,NA,y,mount,,C,M,isolated,,,
135,2,12:33:53 PM,,",3","7,",n,NA,y,mount,,C,I,social,,,
137,2,12:35:53 PM,,",3","5,",n,NA,y,mount,,C,K,social,,,
138,2,12:36:22 PM,,",3","0,",n,NA,y,mount,,C,M,isolated,,,
140,2,12:37:36 PM,,",3","1,",n,NA,y,mount,,C,J,social,,,
141,2,12:37:54 PM,,",3","9,",n,NA,y,mount,,C,N,isolated,,,
144,2,12:38:58 PM,,",0","5,",n,NA,y,mount,,A,K,social,,,
146,2,12:39:32 PM,12:39:56 PM,",9","5,",n,NA,n,insemination,,H,K,social,,,
150,2,12:42:49 PM,12:43:19 PM,",3","1,",n,NA,n,insemination,,C,J,social,,,
151,2,12:44:02 PM,,",5","7,",n,NA,y,mount,,E,I,social,,,
152,2,12:45:20 PM,,",3","7,",n,NA,y,mount,,C,I,social,,,
155,2,12:49:36 PM,,",3","0,",n,NA,y,mount,,C,M,isolated,,,
156,2,12:49:53 PM,,",3","5,",n,NA,y,mount,,C,K,social,,,
161,2,12:55:13 PM,,",3","5,",n,NA,y,mount,,C,K,social,,,
164,2,1:07:50 PM,,",3","9,",n,NA,y,mount,,C,N,isolated,,,
169,2,1:13:41 PM,,",3","5,",n,NA,y,mount,,C,K,social,,,
178,2,1:25:32 PM,1:26:07 PM,",0","5,",n,NA,n,insemination,,A,K,social,,,
182,2,1:30:12 PM,,",3","0,",n,NA,y,mount,,C,M,isolated,,,
184,2,1:34:46 PM,,",3","0,",n,NA,y,mount,,C,M,isolated,,,
185,2,1:39:37 PM,,",0","0,",n,NA,y,mount,,A,M,isolated,,,
186,2,1:41:02 PM,,",4","0,",n,NA,y,mount,,D,M,isolated,,,
188,2,1:42:22 PM,,",9","0,",n,NA,y,mount,,H,M,isolated,,,
189,2,1:43:41 PM,,",3","7,",n,NA,y,mount,,C,I,social,,,
190,2,1:45:19 PM,,",8","0,",n,NA,y,mount,,G,M,isolated,,,
191,2,1:47:10 PM,,",3","1,",n,NA,y,mount,,C,J,social,,,
194,2,1:51:50 PM,,",5","7,",n,NA,y,mount,,E,I,social,,,
197,2,2:03:51 PM,,",6","0,",n,NA,y,mount,,NA,M,isolated,,,
198,2,2:07:23 PM,,",3","9,",n,NA,y,mount,,C,N,isolated,,,
201,2,2:25:22 PM,,",3","9,",n,NA,y,mount,,C,N,isolated,,,
202,2,2:29:44 PM,,",3","9,",n,NA,y,mount,,C,N,isolated,,,
205,2,2:31:39 PM,,",3","1,",n,NA,y,mount,,C,J,social,,,
206,2,2:31:55 PM,,",5","7,",n,NA,y,mount,,E,I,social,,,
207,2,2:36:53 PM,,",3","6,",n,NA,y,mount,,C,L,social,,,
210,2,2:38:54 PM,,",0","1,",n,NA,y,mount,,A,J,social,,,
211,2,2:40:08 PM,2:40:57 PM,",5","4,",n,NA,n,insemination,,E,O,isolated,,,
212,2,2:41:13 PM,,",3","4,",n,NA,y,mount,,C,O,isolated,,,
214,2,2:45:05 PM,,",2","0,",n,NA,y,mount,,B,M,isolated,,,
216,2,3:12:12 PM,,",2","1,",n,NA,y,mount,,B,J,social,,,
217,2,3:13:10 PM,,",3","9,",n,NA,y,mount,,C,N,isolated,,,
220,2,3:16:49 PM,,",3","9,",n,NA,y,mount,,C,N,isolated,,,
221,2,3:17:56 PM,,",3","0,",n,NA,y,mount,,C,M,isolated,,,
222,2,3:19:33 PM,,",3","4,",n,NA,y,mount,,C,O,isolated,,,
223,2,3:19:52 PM,,",3","0,",n,NA,y,mount,,C,M,isolated,,,
224,2,3:23:16 PM,,",3","7,",n,NA,y,mount,,C,I,social,,,
225,2,3:26:02 PM,,",3","7,",n,NA,y,mount,,C,I,social,,,
226,2,3:31:06 PM,,",3","4,",n,NA,y,mount,,C,O,isolated,,,
227,2,3:34:21 PM,,",3","9,",n,NA,y,mount,,C,N,isolated,,,
228,2,3:40:56 PM,,",5","9,",n,NA,y,mount,,E,N,isolated,,,
87,2,10:25:57 AM,10:26:15 AM,",2","5,",y,n,n,insemination,not sure if long enough to be insem,B,K,social,,,
88,2,10:34:08 AM,,",2","5,",y,n,y,mount,,B,K,social,,,
93,2,11:38:44 AM,,",2","6,",y,n,y,mount,,B,L,social,,,
95,2,11:52:02 AM,11:53:00 AM,",0","0,",y,n,n,insemination,,A,M,isolated,,,
97,2,12:01:50 PM,,",3","5,",y,n,y,mount,,C,K,social,,,
101,2,12:05:49 PM,12:10:05 PM,",5","4,",y,n,n,insemination,,E,O,isolated,,,
106,2,12:10:01 PM,,",3","0,",y,n,y,mount,,C,M,isolated,,,
109,2,12:13:12 PM,,",3","5,",y,n,y,mount,,C,K,social,,,
111,2,12:16:04 PM,,",3","0,",y,n,y,mount,,C,M,isolated,,,
116,2,12:19:32 PM,,",3","0,",y,n,y,mount,,C,M,isolated,,,
121,2,12:22:55 PM,,",3","4,",y,n,y,mount,,C,O,isolated,,,
130,2,12:28:41 PM,,",7","5,",y,n,y,mount,,F,K,social,,,
131,2,12:32:50 PM,,",3","1,",y,n,y,mount,,C,J,social,,,
136,2,12:34:27 PM,,",3","0,",y,n,y,mount,,C,M,isolated,,,
139,2,12:36:39 PM,12:37:38 PM,",0","5,",y,n,n,insemination,,A,K,social,,,
145,2,12:38:58 PM,,",8","5,",y,n,n,insemination,,G,K,social,,,
157,2,12:51:00 PM,,",3","1,",y,n,y,mount,,C,J,social,,,
158,2,12:51:27 PM,,",3","9,",y,n,y,mount,,C,N,isolated,,,
159,2,12:51:59 PM,,",3","1,",y,n,y,mount,,C,J,social,,,
167,2,1:11:30 PM,,",3","1,",y,n,y,mount,,C,J,social,,,
171,2,1:17:14 PM,,",3","5,",y,n,y,mount,,C,K,social,,,
173,2,1:19:11 PM,,",3","5,",y,n,y,mount,,C,K,social,,,
177,2,1:25:08 PM,,",9","5,",y,n,y,mount,,H,K,social,,,
180,2,1:27:16 PM,,",0","5,",y,n,y,mount,,A,K,social,,,
183,2,1:31:29 PM,1:32:38 PM,",3","6,",y,n,n,insemination,,C,L,social,,,
187,2,1:41:36 PM,1:42:28 PM,",8","8,",y,n,n,insemination,,G,P,isolated,,,
192,2,1:51:02 PM,,",3","6,",y,n,y,mount,,C,L,social,,,
196,2,1:54:01 PM,,",3","0,",y,n,y,mount,,C,M,isolated,,,
213,2,2:42:50 PM,,",3","9,",y,n,y,mount,,C,N,isolated,,,
215,2,3:11:37 PM,,",3","9,",y,n,y,mount,,C,N,isolated,,,
80,2,8:32:33 AM,,",2","4,",y,y,NA,mount,,B,O,isolated,,,
81,2,9:29:44 AM,,",5","0,",y,y,NA,mount,,E,M,isolated,,,
82,2,9:38:35 AM,,",0","0,",y,y,NA,mount,,A,M,isolated,,,
89,2,10:38:06 AM,,",7","1,",y,y,NA,mount,,F,J,social,,,
92,2,11:29:46 AM,,",2","6,",y,y,NA,mount,,B,L,social,,,
94,2,11:49:55 AM,,",0","0,",y,y,NA,mount,,A,M,isolated,,,
102,2,12:06:53 PM,,",3","5,",y,y,NA,mount,,C,K,social,,,
110,2,12:15:34 PM,,",3","9,",y,y,NA,mount,,C,N,isolated,,,
112,2,12:16:05 PM,,",3","4,",y,y,NA,mount,,C,O,isolated,,,
113,2,12:16:26 PM,,",3","0,",y,y,NA,mount,,C,M,isolated,,,
114,2,12:17:18 PM,,",3","9,",y,y,NA,mount,,C,N,isolated,,,
118,2,12:20:39 PM,,",3","9,",y,y,NA,mount,,C,N,isolated,,,
119,2,12:22:00 PM,,",3","5,",y,y,NA,mount,,C,K,social,,,
120,2,12:22:25 PM,,",3","1,",y,y,NA,mount,,C,J,social,,,
125,2,12:25:36 PM,,",3","5,",y,y,NA,mount,,C,K,social,,,
126,2,12:25:53 PM,,",3","0,",y,y,NA,mount,,C,M,isolated,,,
132,2,12:33:19 PM,,",3","5,",y,y,NA,mount,,C,K,social,,,
142,2,12:38:16 PM,,",8","5,",y,y,NA,mount,,G,K,social,,,
143,2,12:38:58 PM,,",4","5,",y,y,NA,mount,,D,K,social,,,
147,2,12:41:17 PM,,",3","9,",y,y,NA,mount,,C,N,isolated,,,
148,2,12:41:36 PM,,",3","5,",y,y,NA,mount,,C,K,social,,,
149,2,12:42:18 PM,,",3","7,",y,y,NA,mount,,C,I,social,,,
153,2,12:45:49 PM,,",3","9,",y,y,NA,mount,,C,N,isolated,,,
154,2,12:48:29 PM,,",3","1,",y,y,NA,mount,,C,J,social,,,
160,2,12:52:55 PM,,",3","5,",y,y,NA,mount,,C,K,social,,,
162,2,1:03:15 PM,,",3","7,",y,y,NA,mount,,C,I,social,,,
163,2,1:07:06 PM,,",3","5,",y,y,NA,mount,,C,K,social,,,
