replicate,day,start_time,end_time,behaviour,focal,partner,partner_avoid...Y.N.,avoid_success,male_abort,Notes,patch_focal,treatment,patch_partner,partner_sex,
1,1,1:17:28 PM,,mount,0.9,0,y,y,NA,,E,isolated,L,male,
1,1,1:28:31 PM,,mount,0.9,0.2,,,,,E,isolated,G,male,
1,1,2:10:50 PM,,mount,0.9,0.9,y,y,NA,,E,isolated,E,male,
1,1,2:18:07 PM,,mount,0.9,0.6,y,n,y,,E,isolated,I,male,
1,1,2:28:29 PM,,mount,0.9,0.8,,,,,E,isolated,A,male,
1,1,11:21:33 AM,,mount,",9",7,n,NA,y,,E,isolated,T,female,
1,2,11:50:05 AM,,insemination,0.9,4,n,NA,n,,E,isolated,Q,female,
1,2,12:13:26 PM,,mount,0.9,1:00,y,y,NA,,E,isolated,X,female,
1,2,1:26:18 PM,,mount,0.5,0.7,,,,,D,social,F,male,
1,2,12:53:52 PM,,mount,6,5,,,,,I,isolated,R,female,
1,2,2:28:37 PM,,mount,0.9,7,y,n,y,,E,isolated,T,female,
1,1,8:00:00 AM,,insemination,:0,6,n,NA,n,,C,social,S,female,
1,1,8:05:36 AM,,insemination,:0,7,y,n,NA,,C,social,T,female,
1,1,2:24:40 PM,,mount,:0,7,n,NA,y,,C,social,T,female,
1,1,11:07:54 AM,,mount,:0,0.2,,,,,C,social,G,male,
1,1,1:27:57 PM,,mount,:0,0.2,,,,,C,social,G,male,
1,1,8:04:18 AM,,other,:0,,,,,,C,social,NA,female,
1,2,1:39:19 PM,,mount,:0,9,n,NA,y,,C,social,V,female,
1,2,12:28:11 PM,12:30:41 PM,insemination,:0,1:00,n,NA,n,,C,social,X,female,
1,2,2:14:15 PM,2:15:08 PM,insemination,:0,7,n,NA,n,,C,social,T,female,
1,2,12:34:09 PM,,mount,:0,1:00,n,NA,y,,C,social,X,female,
1,2,12:55:15 PM,,mount,:0,1:00,y,n,y,,C,social,X,female,
1,2,1:08:56 PM,,mount,:0,8,n,NA,y,,C,social,U,female,
1,2,1:12:56 PM,,mount,:0,9,n,NA,y,,C,social,V,female,
1,2,1:23:25 PM,,mount,:0,6,n,NA,y,,C,social,S,female,
1,2,1:26:01 PM,,mount,:0,0:00,n,NA,y,,C,social,W,female,
1,2,1:28:23 PM,,mount,:0,1:00,n,NA,y,,C,social,X,female,
