group,replicate,day,time,location,members,notes
298,4,2,1500,6,B R F A W N L P G,
299,4,2,1600,2,V T H M D Q,
300,4,2,1600,3,K V,
301,4,2,1600,4,E I S,
302,4,2,1600,5,X J C O,
303,4,2,1600,6,N G F P A B R L W,
304,5,1,900,2,X F,
305,5,1,900,4,E B Q,
306,5,1,900,5,S T M N V G P C I,
307,5,1,1000,1,Q H U K,
308,5,1,1000,2,X F,
309,5,1,1000,4,E B P W J,
310,5,1,1000,5,N V M C G S T,
311,5,1,1000,6,D L,
312,5,1,1100,1,U K Q H,
313,5,1,1100,2,X F L,
314,5,1,1100,4,E J P W O B I,
315,5,1,1100,5,G S N C M T V,
316,5,1,1100,6,D A,
317,5,1,1200,1,K H,
318,5,1,1200,2,X L F,
319,5,1,1200,4,I B J O P E,
320,5,1,1200,5,S G T M V C,
321,5,1,1200,6,D A,
322,5,1,1300,1,H K,
323,5,1,1300,2,Q X F L,
324,5,1,1300,4,E J B I O P,
325,5,1,1300,5,M S T V G C W,
326,5,1,1300,6,A D,
327,5,1,1400,1,H U K,
328,5,1,1400,2,L F,
329,5,1,1400,4,E B J R I O P,
330,5,1,1400,5,M S V C G W,
331,5,1,1500,1,N U H K,
332,5,1,1500,2,L J F,
333,5,1,1500,3,X A,
334,5,1,1500,4,O R P B I E,
335,5,1,1500,5,C M T W V G,
336,5,1,1500,6,Q D,
337,5,1,1600,1,N U H K,
338,5,1,1600,2,J F L,
339,5,1,1600,3,X A,
340,5,1,1600,4,I B E R O P S,
341,5,1,1600,5,T G C M V W,
342,5,1,1600,6,D W,
343,5,2,800,1,K T U H,
344,5,2,800,2,R L S F J,
345,5,2,800,3,X A,
346,5,2,800,4,O P B M E I,
347,5,2,800,5,C V W T G,
348,5,2,800,6,D Q,
349,5,2,900,1,U K N H,
350,5,2,900,2,J R F S L,
351,5,2,900,3,X A,
352,5,2,900,4,B M P O I E,
353,5,2,900,5,W C V T G,
354,5,2,900,6,D Q,
355,5,2,1000,1,U H N X,
356,5,2,1000,2,J L R F S,
357,5,2,1000,3,X A,
358,5,2,1000,4,B P O I M E,
359,5,2,1000,5,W G T C V,
360,5,2,1000,6,Q D,
361,5,2,1100,1,K H N U,
362,5,2,1100,2,R L F S J,
363,5,2,1100,3,X A,
364,5,2,1100,4,B P M E I O,
365,5,2,1100,5,T C W V G,
366,5,2,1100,6,D Q,
367,5,2,1200,1,U H K,
368,5,2,1200,2,F L S R J,
369,5,2,1200,3,X A,
370,5,2,1200,4,B O P M I E,
371,5,2,1200,5,V W C T G,
372,5,2,1200,6,Q D,
373,5,2,1300,1,U K H,
374,5,2,1300,2,F J L S R,
375,5,2,1300,4,P E M O B I,
376,5,2,1300,5,G T C W V,
377,5,2,1300,6,Q D,
378,5,2,1400,1,H X,
379,5,2,1400,2,F L J R,
380,5,2,1400,3,K A,
381,5,2,1400,4,B O M E I P,
382,5,2,1400,5,W C V G T,
383,5,2,1400,6,Q D,
384,5,2,1500,1,H K,
385,5,2,1500,2,J L R F,
386,5,2,1500,3,A X,
387,5,2,1500,4,S E N I B O P M,
388,5,2,1500,5,W V C G T,
389,5,2,1500,6,Q D,
390,5,2,1600,1,H K,
391,5,2,1600,2,J L F R,
392,5,2,1600,3,X A,
393,5,2,1600,4,I E B O N P S M,
394,5,2,1600,5,W V C G T,
395,5,2,1600,6,Q D,
396,6,1,900,2,G K E,this whole rep has its time an hour beforehand in brackets so I'll leave the bracketed time in the notes. 800
397,6,1,900,3,Q R S F I,
398,6,1,900,4,B A H T,
399,6,1,900,5,U L,
400,6,1,1000,2,E G K,900
401,6,1,1000,3,S Q I R F,
402,6,1,1000,4,H A B T,
403,6,1,1000,5,U L X,
404,6,1,1100,2,K G E,1000
405,6,1,1100,3,F R J Q S I,
406,6,1,1100,4,A B T H,
407,6,1,1100,5,U L,
408,6,1,1200,2,K G E ,1100
409,6,1,1200,3,S I Q R F X J,
410,6,1,1200,4,H B A T,
411,6,1,1200,5,U L,
412,6,1,1300,2,G K E,1200
413,6,1,1300,3,F R S I Q X,
414,6,1,1300,4,H A B T,
415,6,1,1300,5,U L,
416,6,1,1400,2,K O E G,1300
417,6,1,1400,3,P I Q S R F X,
418,6,1,1400,4,B H A T,
419,6,1,1400,5,U L,
420,6,1,1500,2,K X C E G O,1400
421,6,1,1500,3,F S I R,
422,6,1,1500,4,B H T,
423,6,1,1500,5,U L,
424,6,1,1600,2,E G C K O R,1500
425,6,1,1600,3,S I F,
426,6,1,1600,4,B T H,
427,6,1,1600,5,U L,
428,6,2,800,2,K E G R,700
429,6,2,800,4,T B O H,
430,6,2,800,5,L V S C F U,
431,6,2,900,2,E K G R,800
